Category,System,Subsystem
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-214092.1.peg.3450
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-216592.1.peg.3937
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-216600.3.peg.802
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-218494.4.peg.228
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-221988.1.peg.1679
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-224308.1.peg.3555
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-224911.1.peg.435
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-224911.1.peg.6954
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-225849.3.peg.3151
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-226186.1.peg.3978
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-226186.1.peg.3994
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-226186.1.peg.4253
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-226186.1.peg.4416
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-227377.1.peg.2035
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-227882.1.peg.6980
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-228400.4.peg.1623
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-228410.1.peg.134
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-235.1.peg.567
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-235909.3.peg.1769
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-243277.1.peg.4359
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-251221.1.peg.1863
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-257314.1.peg.752
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-262728.1.peg.1737
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-266117.6.peg.1260
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-267608.1.peg.2815
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-269482.4.peg.5018
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-269801.1.peg.1715
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-272943.3.peg.1367
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-279010.5.peg.1134
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-279010.5.peg.1697
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-279010.5.peg.3166
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-279010.5.peg.3195
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-279010.5.peg.587
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-280355.3.peg.2323
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-288681.3.peg.1039
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-290633.1.peg.1906
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-291331.3.peg.3674
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-292414.1.peg.3669
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-292414.1.peg.563
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-292414.1.peg.69
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-296591.1.peg.2330
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-300852.3.peg.1399
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-312309.3.peg.1965
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-313593.3.peg.2729
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-314269.3.peg.1840
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-314276.3.peg.1499
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-315749.4.peg.3658
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316056.14.peg.2759
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316056.14.peg.4315
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316056.14.peg.4707
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316057.3.peg.3521
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316057.3.peg.563
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316057.3.peg.880
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316273.3.peg.227
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316273.3.peg.2378
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316273.3.peg.2709
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316273.3.peg.448
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316273.3.peg.922
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316275.9.peg.382
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316279.3.peg.746
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-316407.3.peg.2816
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-320390.3.peg.528
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-323097.3.peg.2594
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-331978.3.peg.2915
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-335543.6.peg.1659
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-336982.3.peg.1011
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-336982.3.peg.219
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-336982.3.peg.3874
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-339671.5.peg.589
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-342610.3.peg.1794
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-349102.4.peg.3442
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-349161.4.peg.2417
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-349161.4.peg.2427
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-349966.3.peg.197
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-350688.3.peg.1509
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-360102.4.peg.4134
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-364106.7.peg.3197
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-364106.7.peg.3204
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-364106.7.peg.3211
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-366602.3.peg.5141
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-36873.1.peg.4752
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-36873.1.peg.6699
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-370552.3.peg.1240
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-374931.9.peg.1048
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-393011.11.peg.386
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-393121.3.peg.1913
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-393124.3.peg.2657
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-393131.3.peg.612
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-393133.3.peg.2787
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-399599.3.peg.3584
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-404974.3.peg.999
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-410289.13.peg.3174
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-436114.3.peg.833
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-446462.5.peg.2987
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-469378.4.peg.430
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-479431.5.peg.3955
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-479436.4.peg.472
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-498211.3.peg.1415
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-498211.3.peg.291
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-521098.4.peg.1460
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-562.2.peg.5158 SK3 including
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-56780.10.peg.1536
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-630.2.peg.3360
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-74546.3.peg.720
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-783.1.peg.807
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83331.1.peg.4047
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83332.1.peg.3803
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.2642
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.2748
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.3966
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.409
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.566
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.876
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-83333.1.peg.946
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-87626.3.peg.3639
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CBSS-9606.3.peg.12467
Clustering-based subsystems,Clustering-based subsystems - no subcategory,CTP synthase (EC 6.3.4.2) cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cell division-ribosomal stress proteins cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cell wall related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Chlamydia virulence plasmid
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Chlorophyll a synthase and phytol kinase cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Choline uptake and conversion to betaine clusters
Clustering-based subsystems,Clustering-based subsystems - no subcategory,ClpAS cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,ClpS  and metallo-protease cluster in Cyanos 
Clustering-based subsystems,Clustering-based subsystems - no subcategory,ClpS cluster with hypothetical protein in Cyanos
Clustering-based subsystems,Clustering-based subsystems - no subcategory,ClpS like protein and vWFA-like protein cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cluster co-expressed with butyrate metabolism cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cluster containing Alanyl-tRNA synthetase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cluster containing CofD-like protein and co-occuring with DNA repair
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cluster related to type III secretion
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cluster with phosphopentomutase paralog
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Cluster with second YidC in Bacilli
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Conjugative transfer related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Conserved cluster around acetyltransferase YpeA in Enterobacteria
Clustering-based subsystems,Clustering-based subsystems - no subcategory,"Conserved cluster in Enterobacteriaceae downstream from YqjA, a DedA family protein"
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Conserved gene cluster associated with Met-tRNA formyltransferase
Clustering-based subsystems,Clustering-based subsystems - no subcategory,DNA gyrase subunits
Clustering-based subsystems,Clustering-based subsystems - no subcategory,DNA replication cluster 1
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Disulphide related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Divergent RNA modification related clusters
Clustering-based subsystems,Clustering-based subsystems - no subcategory,EC49-61
Clustering-based subsystems,Clustering-based subsystems - no subcategory,EC699-706
Clustering-based subsystems,Clustering-based subsystems - no subcategory,ECSIG4-SIG7
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Gas visicle cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Glutaredoxin 3 and Glutathione synthetase cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Glutaredoxin 3 containing cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Glutaredoxin 3 containing cluster 2
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Glycogen metabolism cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Glycyl-tRNA synthetase containing cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Indolepyruvate oxidoreductase related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,KDO2-Lipid A biosynthesis cluster 2
Clustering-based subsystems,Clustering-based subsystems - no subcategory,KH domain RNA binding protein YlqC
Clustering-based subsystems,Clustering-based subsystems - no subcategory,LMPTP YfkJ cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,LMPTP YwlE cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,LSU ribosomal proteins cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Lipoic acid synthesis cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Lipopolysaccharide assembly cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Listeria bile tolerance locus BltB
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Llipid A biosynthesis cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Long-chain-fatty-acid-CoA ligase and aminotransferase cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Maltose utilization cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Mycobacterial cluster with ATP synthase alpha and beta chain
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Nucleoside Catabolism cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,NusA-TFII Cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,PA0057 cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,PFGI-1-like cluster 1
Clustering-based subsystems,Clustering-based subsystems - no subcategory,PFGI-1-like cluster 2
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Peptidyl-prolyl cis-trans isomerase containing cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Possible Ammonia conversion cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Possible chromosome segregation related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Possible regulatory cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Predicted type III secretion system
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Primosomal replication protein N clusters with ribosomal proteins
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Purine salvage cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Putative hemin transporter
Clustering-based subsystems,Clustering-based subsystems - no subcategory,RNA modification and chromosome partitioning cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,RNA modification cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,RTX toxin cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Recycling of Peptidoglycan Amino Acids cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Replication-related cluster of CBS domain proteins in archaea
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Ribonucleotide reductase cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Ribosome recycling related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,SA:14-24
Clustering-based subsystems,Clustering-based subsystems - no subcategory,SS from gene cluster: Bax gene locus
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Shikimate kinase containing cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Sigma-B stress response cluster 1
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Spore Coat
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Staphylococcus aureus hypothetical repetitive gene loci
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Stationary phase repair cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Stress related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,TPR-repeat-containing protein cluster 1
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Transcription repair cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Transport system clustering with HemG
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Tricarboxylate transport cassette
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Type III secretion system related to low Calcium Response
Clustering-based subsystems,Clustering-based subsystems - no subcategory,USS-DB-1
Clustering-based subsystems,Clustering-based subsystems - no subcategory,USS-DB-2
Clustering-based subsystems,Clustering-based subsystems - no subcategory,USS-DB-4
Clustering-based subsystems,Clustering-based subsystems - no subcategory,USS-DB-6
Clustering-based subsystems,Clustering-based subsystems - no subcategory,USS-DB-7
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Ubiquinol-cytochrome C chaperone locus
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Ycd cluster ( putative 2-hydroxyacid dehydrogenase )
Clustering-based subsystems,Clustering-based subsystems - no subcategory,Yfa cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,YidC containing cluster in LSU rRNA proximity
Clustering-based subsystems,Clustering-based subsystems - no subcategory,a
Clustering-based subsystems,Clustering-based subsystems - no subcategory,tRNA-methylthiotransferase containing cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,tRNA aminoacylation and proline metabolism related cluster
Clustering-based subsystems,Clustering-based subsystems - no subcategory,tRNA modification related cluster
Clustering-based subsystems,2 proteases and a MoxR,CBSS-1140.3.peg.2017
Clustering-based subsystems,2-oxoglutarate oxidoreductase cluster in Clostridia,CBSS-335541.4.peg.1350
Clustering-based subsystems,"A bicyclomycin resistance protein, a helicase, and a pseudouridine synthase",CBSS-584.1.peg.841
Clustering-based subsystems,A cluster perhaps related to purine metabolism,CBSS-354.1.peg.876
Clustering-based subsystems,A cluster-based salvage pathway,A Cluster-Based Subsystem that is Probably a Salvage Pathway Containing Thiamin Kinase
Clustering-based subsystems,"A hypothetical (YfcN) clustering with an L3 methyltransferase, SixA and AroC",CBSS-584.1.peg.2497
Clustering-based subsystems,Actinorhodin biosynthetic cluster,CBSS-106370.11.peg.4050
Clustering-based subsystems,Betaines,Carnitine degradation cluster
Clustering-based subsystems,Biosynthesis of galactoglycans and related lipopolysacharides,CBSS-258594.1.peg.3339
Clustering-based subsystems,Biosynthesis of galactoglycans and related lipopolysacharides,CBSS-376686.6.peg.291
Clustering-based subsystems,CRISPRs and associated hypotheticals,CBSS-216592.1.peg.3534
Clustering-based subsystems,Carbohydrates,Beta-lactamase cluster in Streptococcus
Clustering-based subsystems,Carbohydrates,Cluster Ytf and putative sugar transporter
Clustering-based subsystems,Carbohydrates,Predicted mycobacterial monooxygenase
Clustering-based subsystems,Carbohydrates,Putative sugar ABC transporter (ytf cluster)
Clustering-based subsystems,Carotenoid biosynthesis,CBSS-320388.3.peg.3759
Clustering-based subsystems,Catabolism of an unknown compound,CBSS-262316.1.peg.2929
Clustering-based subsystems,Cell Division,Bacterial cell division cluster
Clustering-based subsystems,Cell Division,CBSS-280477.3.peg.4612
Clustering-based subsystems,Cell Division,CBSS-393130.3.peg.794
Clustering-based subsystems,Cell Division,Cell Division Cluster
Clustering-based subsystems,Cell Division,Cell Division Subsystem including YidCD
Clustering-based subsystems,Cell Division,Cell division cluster containing FtsZ and FtsW
Clustering-based subsystems,Cell Division,Septum site-determining cluster Min
Clustering-based subsystems,Cell Division,cell division cluster containing FtsQ
Clustering-based subsystems,Cell Division,cell division core of larger cluster
Clustering-based subsystems,Central carbohydrate metabolism,Glycolate utilization operon
Clustering-based subsystems,Central carbohydrate metabolism,Glyoxylate bypass cluster
Clustering-based subsystems,"Chemotaxis, response regulators",CBSS-323850.3.peg.3142
Clustering-based subsystems,"Choline bitartrate degradation, putative",CBSS-344610.3.peg.2335
Clustering-based subsystems,Chromosome Replication,SeqA and Co-occurring Genes
Clustering-based subsystems,Clustering-based subsystems,Aromatic cluster with hypothetical
Clustering-based subsystems,Clustering-based subsystems,CBSS-262719.3.peg.410
Clustering-based subsystems,Clustering-based subsystems,CBSS-280355.3.peg.2835
Clustering-based subsystems,Clustering-based subsystems,CBSS-292415.3.peg.2341
Clustering-based subsystems,Clustering-based subsystems,Conenzyme B12 related Hypothetical: Clusters with cobST
Clustering-based subsystems,Clustering-based subsystems,Putative diaminopropionate ammonia-lyase cluster
Clustering-based subsystems,Clustering-based subsystems,Sporulation-related Hypotheticals
Clustering-based subsystems,Coenzyme B12 related,A hypothetical implication in coenzyme B12 biosynthesis
Clustering-based subsystems,Cofactors,Riboflavin synthesis cluster
Clustering-based subsystems,Cytochrome biogenesis,A cytochrome c family cluster of two genes
Clustering-based subsystems,Cytochrome biogenesis,CBSS-196164.1.peg.1690
Clustering-based subsystems,Cytochrome biogenesis,CBSS-196164.1.peg.461
Clustering-based subsystems,D-tyrosyl-tRNA(Tyr) deacylase (EC 3.1.-.-) cluster,CBSS-342610.3.peg.283
Clustering-based subsystems,DNA metabolism,CBSS-269801.1.peg.2186
Clustering-based subsystems,DNA metabolism,CBSS-272943.3.peg.263
Clustering-based subsystems,DNA metabolism,DNA uptake cluster
Clustering-based subsystems,DNA metabolism,Rad50-Mre11 DNA repair cluster
Clustering-based subsystems,DNA pol III alpha and a number of apparently unrelated functions,CBSS-269801.1.peg.809
Clustering-based subsystems,DNA polymerase III epsilon cluster,CBSS-342610.3.peg.1536
Clustering-based subsystems,Degradation of Polyphenols (?),CBSS-232721.5.peg.360
Clustering-based subsystems,Drug resistance or antibiotic biosynthesis related cluster,CBSS-1085.1.peg.1363
Clustering-based subsystems,Fatty acid metabolic cluster,CBSS-246196.1.peg.364
Clustering-based subsystems,Fatty acid metabolic cluster,COG1399
Clustering-based subsystems,Flagella protein?,CBSS-323098.3.peg.2823
Clustering-based subsystems,General secretion system/Phosphate-binding DING proteins cluster,CBSS-350701.3.peg.3277
Clustering-based subsystems,Hypothetical Related to Dihydroorate Dehydrogenase,Hypothetical Related to Dihydroorotate dehydrogenase
Clustering-based subsystems,Hypothetical aromatic compound degradation cluster,CBSS-392499.4.peg.4257
Clustering-based subsystems,Hypothetical associated with RecF,Hypothetical Coupled to RecF
Clustering-based subsystems,Hypothetical in Lysine biosynthetic cluster,CBSS-323850.3.peg.3269
Clustering-based subsystems,Hypothetical lipase related to Phosphatidate metabolism,CBSS-316407.3.peg.1371
Clustering-based subsystems,Isoprenoid/cell wall biosynthesis: PREDICTED UNDECAPRENYL DIPHOSPHATE PHOSPHATASE,CBSS-83331.1.peg.3039
Clustering-based subsystems,Lysine Biosynthesis,A Glutathione-dependent Thiol Reductase Associated with a Step in Lysine Biosynthesis
Clustering-based subsystems,"Lysine, threonine, methionine, and cysteine",CBSS-84588.1.peg.1247
Clustering-based subsystems,"Lysine, threonine, methionine, and cysteine",YeiH
Clustering-based subsystems,M14 metallocarboxypeptidases,An M14 metallocarboxypeptidase and a probable hydrolase cluster
Clustering-based subsystems,May be related to ADP-phosphoribose and NAD-dependent acetylation,CBSS-216591.1.peg.168
Clustering-based subsystems,May be related to amine metabolism,CBSS-314225.3.peg.1533
Clustering-based subsystems,Membrane-bound hydrogenase,Membrane bound hydrogenase Mbh
Clustering-based subsystems,Methanol oxidation,CBSS-316056.14.peg.1887
Clustering-based subsystems,Methylamine utilization,CBSS-265072.7.peg.546
Clustering-based subsystems,Methylamine utilization,Glutamate-mediated methylamine utilization pathway
Clustering-based subsystems,Molybdopterin oxidoreductase,CBSS-269799.3.peg.2220
Clustering-based subsystems,Monosaccharides,Unspecified monosaccharide transport cluster
Clustering-based subsystems,Mycocerosic acid and related Polyketides biosynthesis clusters,CBSS-83332.1.peg.1531
Clustering-based subsystems,Nucleotidyl-phosphate metabolic cluster,CBSS-222523.1.peg.1311
Clustering-based subsystems,Opines,D-nopaline catabolic operon
Clustering-based subsystems,Opines,Opine cluster
Clustering-based subsystems,Oxidative stress,CoA-disulfide reductase (EC 1.8.1.14) containing cluster
Clustering-based subsystems,Peptidase C-14 or homohentisate metabolism related cluster in Rhodopseudomonas,CBSS-316056.14.peg.880
Clustering-based subsystems,"Permease proteins, subunit of DNA pol, and the Val-tRNA synthetase",CBSS-208964.1.peg.3826
Clustering-based subsystems,Phosphate metabolism,PhoR-PhoB two-component regulatory system
Clustering-based subsystems,Probably GTP or GMP signaling related,CBSS-176299.4.peg.1292
Clustering-based subsystems,Probably Pyrimidine biosynthesis-related,CBSS-306254.1.peg.1508
Clustering-based subsystems,Probably Ybbk-related hypothetical membrane proteins,CBSS-316057.3.peg.659
Clustering-based subsystems,Probably organic hydroperoxide resistance related hypothetical protein,CBSS-269482.1.peg.1294
Clustering-based subsystems,Prophage,Prophage cluster in the proteobacteria
Clustering-based subsystems,Proteasome related clusters,Proteasome subunit alpha archaeal cluster
Clustering-based subsystems,Protein export?,CBSS-393121.3.peg.2760
Clustering-based subsystems,Putative GGDEF domain protein related to agglutinin secretion,CBSS-323850.3.peg.3284
Clustering-based subsystems,Putative Isoquinoline 1-oxidoreductase subunit,CBSS-314267.3.peg.390
Clustering-based subsystems,Putative asociate of RNA polymerase sigma-54 factor rpoN,CBSS-316057.3.peg.1308
Clustering-based subsystems,"Putrescine/GABA utilization cluster-temporal,to add to SSs",GABA and putrescine metabolism from cluters
Clustering-based subsystems,Pyruvate kinase associated cluster,CBSS-288000.5.peg.1793
Clustering-based subsystems,RNA metabolism,Possible RNA degradation cluster
Clustering-based subsystems,RNA metabolism,Possible archaeal RNA modification cluster
Clustering-based subsystems,Recombination related cluster,CBSS-198094.1.peg.4426
Clustering-based subsystems,Related to Menaquinone-cytochrome C reductase ,CBSS-393130.3.peg.129
Clustering-based subsystems,Related to ribose or hydroxymethylpyrimidine metabolism,CBSS-479435.4.peg.2736
Clustering-based subsystems,Ribosomal Protein L28P relates to a set of uncharacterized proteins,A Gram-positive cluster that relates ribosomal protein L28P to a set of uncharacterized proteins
Clustering-based subsystems,Ribosome-related cluster,A Gammaproteobacteria Cluster Relating to Translation
Clustering-based subsystems,Ribosome-related cluster,Cluster possibly related to ribosome assembly and maturation 1
Clustering-based subsystems,Ribosome-related cluster,Ribosome post-transcriptional modification and chromosomal segregation cluster
Clustering-based subsystems,Sarcosine oxidase,Sarcosine oxidase subunits
Clustering-based subsystems,Shiga toxin cluster,CBSS-194948.1.peg.143
Clustering-based subsystems,Shiga toxin cluster,ShigaToxin
Clustering-based subsystems,Sulfatases and sulfatase modifying factor 1 (and a hypothetical),Sulfatases and sulfatase modifying factor 1
Clustering-based subsystems,Tartronate-semialdehyde related area (links to pyridoxine and aldorate metabolism),CBSS-502800.3.peg.2785
Clustering-based subsystems,Three hypotheticals linked to lipoprotein biosynthesis,CBSS-188.1.peg.9880
Clustering-based subsystems,TldD cluster,CBSS-354.1.peg.2917
Clustering-based subsystems,Toxins,Salmonella toxin cluster
Clustering-based subsystems,Translation,CBSS-243265.1.peg.198
Clustering-based subsystems,Translation,CBSS-326442.4.peg.1852
Clustering-based subsystems,Transport systems,Magnesium transport ATPase cluster in Brucella
Clustering-based subsystems,"Tricarboxilate (malonate, propionate?) transport",CBSS-314288.3.peg.1460
